"","OUT","EXPO","Estimate","Std. Error","t value","Pr(>|t|)","AIC","BIC","Lower","Upper"
"2","Lan-Pho","score_dcv_year",-0.00587498887416766,0.0131587646278305,-0.446469637563256,0.655595899803332,1761.85341592269,1791.29479679483,-0.031665693625755,0.0199157158774197
"3","Lan-Pho","sex",0.604400841673257,0.582091559758238,1.03832607008472,0.299995313695388,1761.85341592269,1791.29479679483,-0.536477651157633,1.74527933450415
"4","Lan-Pho","age",0.012469168547212,0.0212712778184506,0.586197437391198,0.558205185226499,1761.85341592269,1791.29479679483,-0.0292217698820969,0.0541601069765208
"5","Lan-Pho","edu_co",0.404093437154951,0.0770778246567098,5.24266790032942,3.08093350133038e-07,1761.85341592269,1791.29479679483,0.253023676821107,0.555163197488796
"6","Lan-Pho","p1ex",-1.95754430969252,0.568597744520265,-3.4427577818553,0.000661882596965679,1761.85341592269,1791.29479679483,-3.07197541064294,-0.84311320874209
"7","Lan-Pho","dri_gr_2",0.575078818876207,0.588735979473391,0.97680257182617,0.329492396143588,1761.85341592269,1791.29479679483,-0.57882249729455,1.72898013504696
"21","Lan-Pho","score_chp_year",0.378096372318643,0.346220504278336,1.09206811164102,0.275722245199913,1760.8382965588,1790.27967743093,-0.300483346776191,1.05667609141348
"31","Lan-Pho","sex",0.654525136754483,0.582054979789143,1.12450740820325,0.261740720549566,1760.8382965588,1790.27967743093,-0.486281660654426,1.79533193416339
"41","Lan-Pho","age",0.0136260137116134,0.0212352851896478,0.64166850550498,0.521602367750717,1760.8382965588,1790.27967743093,-0.0279943804615332,0.0552464078847599
"51","Lan-Pho","edu_co",0.40781347235357,0.0767606340670856,5.31279447219207,2.17423408872012e-07,1760.8382965588,1790.27967743093,0.257365394151624,0.558261550555516
"61","Lan-Pho","p1ex",-2.00069512539371,0.566962520910664,-3.52879608722665,0.000486237238771502,1760.8382965588,1790.27967743093,-3.11192124696265,-0.889469003824772
"71","Lan-Pho","dri_gr_2",0.544280355607486,0.586262856123334,0.928389629195583,0.353988351115545,1760.8382965588,1790.27967743093,-0.604773727867837,1.69333443908281
"22","Lan-Pho","score_cyp_year",-0.00148542741318101,0.00637312203463852,-0.233076882116422,0.815868427937085,1762.00190958219,1791.44329045433,-0.0139765170701511,0.0110056622437891
"32","Lan-Pho","sex",0.582027305425069,0.596597379216119,0.975578045934103,0.330098043927373,1762.00190958219,1791.44329045433,-0.58728207110951,1.75133668195965
"42","Lan-Pho","age",0.0125230209254656,0.0212965913230366,0.588029358102925,0.556976616489635,1762.00190958219,1791.44329045433,-0.0292175310611544,0.0542635729120855
"52","Lan-Pho","edu_co",0.40332836774798,0.0781198801243404,5.16294145748839,4.55946224122408e-07,1762.00190958219,1791.44329045433,0.250216216227687,0.556440519268274
"62","Lan-Pho","p1ex",-1.96635018875318,0.568485435880716,-3.4589279947108,0.000624900376829348,1762.00190958219,1791.44329045433,-3.08056116881494,-0.852139208691421
"72","Lan-Pho","dri_gr_2",0.559301445140369,0.587501958066649,0.951999286914581,0.34190119216698,1762.00190958219,1791.44329045433,-0.592181233517023,1.71078412379776
"23","Lan-Pho","score_dmt_year",-0.00814403863779694,0.0137379949121497,-0.592811301057804,0.553775883523515,1761.69775321524,1791.13913408737,-0.0350700138854048,0.0187819366098109
"33","Lan-Pho","sex",0.558961532833017,0.58865339925449,0.949559678990937,0.343137730676821,1761.69775321524,1791.13913408737,-0.59477792908286,1.71270099474889
"43","Lan-Pho","age",0.0124005631586129,0.0212634521143201,0.583186732424392,0.56022717262438,1761.69775321524,1791.13913408737,-0.0292750371724466,0.0540761634896724
"53","Lan-Pho","edu_co",0.407082283979664,0.0768699446530922,5.29572755407582,2.36748943744188e-07,1761.69775321524,1791.13913408737,0.256419960966016,0.557744606993312
"63","Lan-Pho","p1ex",-1.96838912228855,0.567339979810086,-3.46950539771136,0.000601764533063989,1761.69775321524,1791.13913408737,-3.080355049706,-0.856423194871097
"73","Lan-Pho","dri_gr_2",0.554044546433747,0.587034311506032,0.943802662935238,0.346067100556213,1761.69775321524,1791.13913408737,-0.596521561807343,1.70461065467484
"24","Lan-Pho","score_lch_year",-0.0157456592551239,0.0250304367281313,-0.629060508457993,0.529811563236677,1761.65243645583,1791.09381732797,-0.0648044137595698,0.033313095249322
"34","Lan-Pho","sex",0.570233547476012,0.58549500155868,0.973934100134007,0.330912274415048,1761.65243645583,1791.09381732797,-0.577315568707223,1.71778266365925
"44","Lan-Pho","age",0.01234324791774,0.021263528815733,0.580489157030568,0.562041887931246,1761.65243645583,1791.09381732797,-0.0293325027453263,0.0540189985808064
"54","Lan-Pho","edu_co",0.408518025957975,0.0769233863807108,5.31071297272495,2.19695659384335e-07,1761.65243645583,1791.09381732797,0.257750959082923,0.559285092833027
"64","Lan-Pho","p1ex",-1.99133630855144,0.567895076228862,-3.50652152467144,0.000526957081546953,1761.65243645583,1791.09381732797,-3.10439020495763,-0.878282412145237
"74","Lan-Pho","dri_gr_2",0.548431412525295,0.587102665289512,0.93413204359216,0.351023778221908,1761.65243645583,1791.09381732797,-0.602268666669622,1.69913149172021
"25","Lan-Pho","score_pfn_year",-0.00392593156342402,0.009171742053622,-0.428046443137117,0.668939461717495,1761.86991060515,1791.31129147729,-0.0219022156640146,0.0140503525371665
"35","Lan-Pho","sex",0.570510109602791,0.590086560361738,0.966824442253106,0.334448643197311,1761.86991060515,1791.31129147729,-0.586038296467336,1.72705851567292
"45","Lan-Pho","age",0.0118924310956115,0.0213641055945483,0.556654761088907,0.578198634154342,1761.86991060515,1791.31129147729,-0.0299804464316138,0.0537653086228367
"55","Lan-Pho","edu_co",0.404267919054388,0.0770679429798605,5.24560411791491,3.03651142676452e-07,1761.86991060515,1791.31129147729,0.253217526451275,0.555318311657501
"65","Lan-Pho","p1ex",-1.97119384820145,0.567465683128842,-3.47367939032517,0.000592857296589329,1761.86991060515,1791.31129147729,-3.0834061495964,-0.858981546806503
"75","Lan-Pho","dri_gr_2",0.569842765489345,0.58808905445071,0.968973595370845,0.333377073595991,1761.86991060515,1791.31129147729,-0.582790600936261,1.72247613191495
"26","Lan-Pho","score_tfd_year",0.00187677983207009,0.00639100650368011,0.293659509028725,0.769231084675332,1761.96922549925,1791.41060637139,-0.0106493627401042,0.0144029224042444
"36","Lan-Pho","sex",0.64702259577167,0.593564392172543,1.0900630231599,0.276602951723371,1761.96922549925,1791.41060637139,-0.516342235391922,1.81038742693526
"46","Lan-Pho","age",0.0134586206427898,0.0213814615557222,0.629452790573522,0.529555152915855,1761.96922549925,1791.41060637139,-0.0284482739432534,0.055365515228833
"56","Lan-Pho","edu_co",0.409431257888068,0.0775327435346196,5.28075286933773,2.55071328210286e-07,1761.96922549925,1791.41060637139,0.257469872937633,0.561392642838504
"66","Lan-Pho","p1ex",-1.97613718467632,0.567576608549294,-3.48171005448455,0.000576065964953015,1761.96922549925,1791.41060637139,-3.08856689590032,-0.863707473452313
"76","Lan-Pho","dri_gr_2",0.55063805986172,0.587579657582138,0.937129209216618,0.349482765807422,1761.96922549925,1791.41060637139,-0.600996907047647,1.70227302677109
"27","Lan-Pho","score_gly_year",0.00278209996907998,0.00720731359127148,0.386010672887785,0.699775752677153,1761.90494731378,1791.34632818592,-0.0113439750950982,0.0169081750332581
"37","Lan-Pho","sex",0.669459306976881,0.600169304022097,1.11545076112762,0.265593678018714,1761.90494731378,1791.34632818592,-0.506850913532899,1.84576952748666
"47","Lan-Pho","age",0.0135458977593343,0.0213485393571247,0.634511688726546,0.526254159831301,1761.90494731378,1791.34632818592,-0.028296470503166,0.0553882660218347
"57","Lan-Pho","edu_co",0.411087448118286,0.077793341532358,5.28435261965569,2.50545008720653e-07,1761.90494731378,1791.34632818592,0.258615300477841,0.563559595758732
"67","Lan-Pho","p1ex",-1.98874006086782,0.568761917897319,-3.49661255138193,0.000546079638658281,1761.90494731378,1791.34632818592,-3.1034929357245,-0.873987186011153
"77","Lan-Pho","dri_gr_2",0.533651557213492,0.590076787070326,0.904376462363518,0.366556973789864,1761.90494731378,1791.34632818592,-0.622877693557457,1.69018080798444
"28","Lan-Pho","score_man_year",-0.00133278718500247,0.00325363765675666,-0.409629874499006,0.682384110733958,1761.88570562253,1791.32708649467,-0.00770979981098881,0.00504422544098387
"38","Lan-Pho","sex",0.547788283473242,0.602994672117196,0.90844630774246,0.364407327644532,1761.88570562253,1791.32708649467,-0.634059556746001,1.72963612369249
"48","Lan-Pho","age",0.011884682830326,0.0213762651592236,0.555975645970032,0.578662189024089,1761.88570562253,1791.32708649467,-0.0300120270057305,0.0537813926663825
"58","Lan-Pho","edu_co",0.402140436494999,0.0776314216074817,5.18012459604684,4.19172707547227e-07,1761.88570562253,1791.32708649467,0.24998564607569,0.554295226914307
"68","Lan-Pho","p1ex",-1.95177479223229,0.570013912415491,-3.42408272801877,0.000707135970010822,1761.88570562253,1791.32708649467,-3.06898153125342,-0.834568053211155
"78","Lan-Pho","dri_gr_2",0.565860464206611,0.587707856968259,0.96282610058278,0.336448151546158,1761.88570562253,1791.32708649467,-0.586025768882394,1.71774669729562
"29","Lan-Sem","score_dcv_year",-0.00462340260889503,0.00921381783952242,-0.501790103670498,0.616195914579276,1574.65362302962,1604.20348014005,-0.0226821537344716,0.0134353485166816
"39","Lan-Sem","sex",-0.728899812980381,0.405844108504104,-1.79600934868076,0.0735338315437564,1574.65362302962,1604.20348014005,-1.52433964898619,0.0665400230254287
